nl,code,utils
Gets IP addresses of all active network interfaces on host.,ifconfig | awk -F arg arg,awk ifconfig
"do nothing, unsuccessfully",false,false
find all the files ending with .ini in the current directory.,find arg -name arg,find
"compress or expand files when compressing, do not save when compressing, always save the",gunzip -n --name,gunzip
Locate files whose status was changed less than 1 day ago,find arg -ctime -Timespan -print,find
"find all c, cpp files in current folder",find arg -regex arg,find
"Ping all hosts in file ""ips"" twice",cat arg | xargs -n arg,ping xargs cat
"Count the number of open files for PID ""$PYTHONPID"" every 2 seconds",watch command,watch
change file mode bits like verbose but report only do not treat '/' specially,chmod --changes --no-preserve-root arg arg,chmod
"copy the first part of files print the first num bytes print the first num lines line delimiter is nul, not",head -c -Quantity - arg,head
"print system information print all information, in the print the kernel name print the kernel release print the kernel version print the machine hardware name",uname -a -m -v --kernel-name --kernel-release,uname
suspend execution for an interval,sleep Timespan,sleep
Find files which are more than 2 days old under  ${userdir}/${i}/incoming directory and remove them,find arg -mtime +Timespan -type f,find rm
output a string repeatedly until killed display this help and exit,yes --help,yes
displays a calendar and the date of Easter assume the switch from julian,cal -DateTime DateTime,cal
display all the text files in current folder,"find arg -name arg -printf ""%f\n""",find
 and  suppress normal output; instead print print <u>num</u> lines of output,shopt | grep -y --context arg arg,grep shopt
catenate files,read,read
"do nothing, unsuccessfully and do nothing, successfully output version information and exit",false | true --version,true false
,sudo,sudo
"copy files and directories same as <b>--no-dereference</b> <b>--preserve</b>=<u>links</u> always follow symbolic links in preserve the specified attributes (default: use full source file name remove any trailing slashes from like <b>-z</b>, or if ctx",cp -L -d --context arg --parents --preserve arg --strip-trailing-slashes arg,cp
"compress or expand files ascii text mode: convert end-of-lines force compression or decompression even keep (don't delete) input files for each compressed file, list travel the directory structure recursively. test. check the compressed file",gzip -a -f -l -r --keep --test,gzip
"report repeated lines in a file only print duplicate lines, one",uniq --repeated,uniq
"pattern-directed scanning and processing language and columnate lists specify a set of characters whitespace, by default, or with fill columns before filling rows. do not ignore empty lines. and wrap each input line to fit in specified width count bytes rather than columns break at spaces use width columns instead of",awk | column -e -s arg -x | fold -s -w arg --bytes,fold awk column
return working directory name and build and execute command lines from standard input use at most <u>max-args</u> arguments prompt the user about whether if the standard input does and translate or delete characters replace each sequence of a and wrap each input line to fit in specified width count bytes rather than columns break at spaces,pwd | xargs -n -Quantity --interactive | tr -s | fold --bytes --spaces,xargs fold tr pwd
"a fast, versatile, remote (and local) file-copying tool when comparing two timestamps, rsync this changes the way rsync this tells rsync to omit requests a simple itemized list this option causes rsync to this option tells the rsync",rsync -J -i --checksum --log-file arg --log-file-format ARG --modify-window arg,rsync
"Find all regular files under and below /home/admin/public_html/, and change their permissions to 644",find arg -type f -exec chmod,find chmod
"file perusal filter for crt viewing count logical lines, rather than is displayed. suppress underlining.",more -c -f -u,more
sort based on size and display top ten small normal/regular files in the current folder,find arg -type f -exec ls,find ls head sort
 interpret <u>pattern</u> as a basic prefix each line of output,grep -G -n arg,grep
stream editor suppress automatic printing of pattern follow symlinks when processing in edit files in place (makes consider files as separate rather,sed -s --follow-symlinks --in-place arg --quiet Program,sed
run jobs in the foreground,fg,fg
output a string repeatedly until killed output version information and exit and move (rename) files do not overwrite an existing move all source arguments into,yes --version | mv -n -t arg arg,mv yes
 output the digest in the verify the signature using the,md5 -prverify arg,md5
concatenate and print files in reverse,tac,tac
 no action: print names of over write: allow existing files may be repeated to build,rename arg -n arg,rename
"Searches through the htdocs and cgi-bin directories for files that end with the extension .cgi. When these files are found, their permission is changed to mode 755 (rwxr-xr-x).",find arg -name arg -type f,find chmod
